TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ANH;2,98;;-2,68;0,72;0,12;;;;-5,03;24,95;29,98;-4,31;;;-0,12;;-27,04;-4,64;-9,45;0,17;0,82;0,00;;;;4,12;-1,11;-0,04;295.925.866,36
APLE;12,01;6,00;14,94;0,89;0,58;57,89;19,03;13,38;10,50;16,38;5,87;0,50;2,00;;-0,58;;5,95;3,86;5,58;0,65;0,35;0,29;2,48;4,48;;13,50;0,80;-4,02;2.857.278.683,00
APTS;25,00;;105,44;1,40;0,43;69,54;28,71;3,83;14,06;33,84;19,77;1,96;4,04;;-0,43;;1,32;0,41;3,21;0,31;0,69;0,11;20,97;;;17,91;0,24;-0,22;1.611.075.000,00
ARE;75,71;5,17;96,66;0,76;0,35;70,46;16,73;4,39;25,37;49,63;24,26;0,72;4,25;;-0,35;;0,78;0,36;1,70;0,46;0,54;0,08;15,27;-1,65;;100,96;0,79;-3,59;13.185.213.958,00
ARI;9,86;7,61;817,07;0,74;0,16;100,00;459,48;1,56;2,78;16,28;13,50;3,57;12,77;;-0,16;;0,09;0,02;5,67;0,21;0,79;0,01;;;;13,39;0,01;-7,33;1.368.596.430,00
ARR;16,85;11,37;-182,22;0,81;0,09;;;;2,64;3,24;0,60;0,18;;;-0,09;;-0,44;-0,05;22,92;0,11;0,89;0,00;;;;20,84;-0,09;1,96;1.379.931.560,00
AVB;203,98;2,54;25,18;2,42;1,36;100,00;46,74;38,86;20,94;26,91;5,98;0,69;9,78;;-1,36;;9,61;5,40;6,76;0,56;0,44;0,14;4,62;7,36;;83,70;8,04;1,16;28.833.831.546,00
BDN;4,13;7,25;-3,46;0,72;0,21;64,50;-15,76;-41,31;-9,08;-36,75;-27,68;2,20;1,43;;-0,21;;-20,81;-6,04;-2,46;0,29;0,71;0,15;-2,73;;;5,74;-1,20;5,20;716.015.070,00
BFS;35,27;3,34;24,01;2,60;0,40;72,40;43,90;13,00;7,11;18,15;11,04;4,04;3,12;;-0,40;;10,85;1,67;7,23;0,15;0,85;0,13;3,03;-0,42;;13,56;1,47;-2,11;855.294.992,00
BHR;2,50;6,00;-25,30;0,70;0,08;30,85;16,86;-0,91;1,37;9,74;8,37;4,28;0,23;-0,15;-0,09;0,18;-2,77;-0,32;8,42;0,11;0,67;0,35;8,36;;;3,56;-0,10;0,33;167.616.250,00
BNL;16,26;5,35;26,94;1,04;0,59;94,35;44,81;26,22;15,76;25,93;10,17;0,67;7,06;;-0,59;;3,87;2,18;3,92;0,56;0,44;0,08;7,64;15,39;;15,60;0,60;-0,73;3.072.553.250,00
