ticker;preco;dy;pl;pvp;roe;roa;roic;margem_bruta;margem_ebit;margem_liquida;liquidez_corrente;vpa;lpa;liquidez_diaria;valor_mercado
ODPV3;11,85;7,7;11,5;4,74;41,21;25,15;36,22;36,46;31,61;24,29;0,85;2,5;1,03;17.691.831,77;6.468.029.639,10
OFSA3;23,36;3,11;10,2;1,98;19,44;9,75;82,39;50,58;81,96;11,92;2,56;11,78;2,29;121.080,18;1.260.248.780,16
OGXP3;1,63;;-2,15;-0,98;-45,53;-43,02;10,57;;;;0,51;-1,67;-0,76;;52.747.073,84
OIBR3;0,62;;0,01;-0,01;-95,87;71,54;34,74;-103,32;-68,99;847,38;0,7;-44,41;42,57;2.190.469,59;217.151.699,08
OIBR4;8,53;;0,2;-0,19;-95,87;71,54;34,74;-103,32;-68,99;847,38;0,7;-44,41;42,57;267.189,23;217.151.699,08
OMGE3;27,57;;8,07;;;;;32,09;37,96;18,16;1,88;0,03;3,42;;5.521.562.588,85
ONCO3;4,97;;-4,04;1,08;-26,78;-7,41;-4,32;31,79;-3,68;-12,81;1,81;4,6;-1,23;8.320.778,77;3.239.228.875,61
OPCT3;7,00;;-60,65;1,48;-2,44;-0,79;8,32;25,47;14,4;-1,37;1,67;4,73;-0,12;1.828.300,36;1.399.716.878,00
ORVR3;53,60;;177,47;6,68;3,76;0,86;8,14;44,69;28,02;3,1;1,93;8,03;0,3;20.404.328,50;5.152.400.285,60
OSXB3;2,65;;-0,01;0,0;-18,41;-114,07;75,68;99,31;;;0,01;;-504,56;4.670,05;8.342.300,70
PARD3;20,25;;36,76;5,3;14,42;5,7;14,8;26,45;13,31;6,98;0,9;3,82;0,55;;5.403.493.010,25
PATI3;37,50;15,48;10,33;1,14;11,05;5,39;7,8;12,3;6,16;3,99;2,2;32,85;3,63;7.951,31;894.695.565,30
PATI4;34,80;19,95;9,58;1,06;11,05;5,39;7,8;12,3;6,16;3,99;2,2;32,85;3,63;7.529,00;894.695.565,30
PCAR3;3,21;;-0,82;0,57;-69,32;-9,89;-6,37;27,63;-1,47;-10,1;0,98;5,64;-3,91;19.912.268,73;1.574.158.435,56
PCAR4;72,11;;-18,46;12,79;-69,32;-9,89;-6,37;27,63;-1,47;-10,1;0,98;5,64;-3,91;;1.574.158.435,56
PDGR3;0,25;;-0,02;0,0;-13,8;-87,6;6,07;9,1;-82,43;-337,39;0,32;-113,29;-15,63;651.097,68;7.422.757,50
PDTC3;1,03;;5,66;0,66;11,74;2,1;3,13;70,64;101,94;101,73;2,4;1,55;0,18;39.982,32;81.853.714,78
PEAB3;40,90;1,99;21,56;0,86;3,99;2,77;2,66;58,45;30,99;36,86;5,51;47,53;1,9;255.679,50;818.046.198,65
PEAB4;45,65;1,93;24,06;0,96;3,99;2,77;2,66;58,45;30,99;36,86;5,51;47,53;1,9;20.668,50;818.046.198,65
PETR3;35,18;15,94;9,42;1,15;12,16;4,19;14,43;49,67;27,45;9,7;0,72;30,71;3,73;319.587.349,95;436.977.184.367,40
PETR4;32,16;17,47;8,61;1,05;12,16;4,19;14,43;49,67;27,45;9,7;0,72;30,71;3,73;1.033.996.734,00;436.977.184.367,40
PETZ3;3,87;7,45;-43,98;1,08;-2,45;-1,05;0,9;46,91;1,66;-1,2;1,68;3,58;-0,09;22.569.690,86;1.790.803.509,75
PFRM3;8,47;6,89;8,42;0,8;9,47;2,15;11,78;14,98;2,87;1,17;1,28;10,62;1,01;1.416.939,27;1.048.694.187,31
PGMN3;3,39;7,46;19,52;0,78;3,97;1,25;13,1;31,71;4,79;0,82;1,41;4,37;0,17;2.354.014,00;2.110.860.575,04
PINE3;5,90;8,37;12,3;1,19;9,69;0,4;;19,73;0,85;3,44;0,16;4,95;0,48;20.794,73;1.337.763.451,20
PINE4;5,90;8,37;12,3;1,19;9,69;0,4;;19,73;0,85;3,44;0,16;4,95;0,48;1.275.280,23;1.337.763.451,20
PLAS3;5,30;;-0,48;-0,11;-23,89;-21,69;10,97;13,08;-0,38;-12,02;0,39;-46,45;-11,1;1.793,75;65.854.715,40
PLPL3;15,20;6,62;8,39;3,87;46,07;14,76;29,06;32,98;18,04;13,69;3,12;3,93;1,81;14.844.490,82;3.099.295.200,00
PMAM3;1,72;;-0,07;-0,02;-30,37;-122,93;35,79;-31,37;-80,91;-376,62;0,06;-79,81;-24,24;900.027,82;138.166.605,84
PNVL3;9,50;3,82;14,66;1,15;7,82;3,07;7,41;31,73;3,99;1,96;1,9;8,28;0,65;4.182.911,00;1.428.586.069,50
PNVL4;18,62;;28,74;2,25;7,82;3,07;7,41;31,73;3,99;1,96;1,9;8,28;0,65;;1.428.586.069,50
POMO3;6,52;8,82;6,54;1,87;28,59;12,61;15,01;24,73;16,33;13,14;1,7;3,49;1,0;1.124.255,73;8.621.445.249,71
POMO4;8,19;7,02;8,22;2,35;28,59;12,61;15,01;24,73;16,33;13,14;1,7;3,49;1,0;58.914.364,95;8.621.445.249,71
PORT3;17,50;7,76;13,5;2,81;20,81;8,78;13,37;47,83;33,12;18,73;1,12;6,23;1,3;18.872.745,18;7.717.113.250,00
POSI3;4,71;5,81;228,41;0,42;0,18;0,07;7,77;25,14;7,07;0,09;2,03;11,34;0,02;3.953.944,59;667.878.000,00
POWE3;10,90;;23,92;0,99;4,13;1,58;3,81;6,82;3,52;2,59;1,13;11,02;0,46;;977.237.930,40
PPAR3;14,60;16,25;1,32;0,04;3,07;2,22;1,9;;;;77,22;359,85;11,03;;2.160.800,00
PPAR4;0,00;;0,0;0,0;3,07;2,22;1,9;;;;77,22;359,85;11,03;;2.160.800,00
PPLA11;1,06;;0,5;331,51;;;;;;;1,0;0,0;2,13;271,23;2.983.545,96
PRIO3;42,61;;3,37;1,44;42,58;20,68;0,78;43,99;40,3;72,61;3,19;29,68;12,64;357.538.052,95;38.193.310.431,53
PRNR3;15,46;0,33;69,57;2,1;3,02;0,73;8,28;22,09;7,78;0,83;1,96;7,36;0,22;3.590.140,55;722.302.903,22
PSSA3;56,72;4,15;12,98;2,65;20,39;5,71;13,61;100,0;8,76;7,79;1,13;21,43;4,37;88.424.411,95;36.674.361.323,20
PTBL3;4,59;;-5,67;2,05;-36,12;-3,16;5,69;36,12;4,76;-4,61;0,87;2,24;-0,81;1.556.529,23;647.129.806,74
PTCA11;0,00;;0,0;0,0;29,27;10,95;15,77;48,98;12,2;9,03;1,94;31,49;9,22;;0,00
PTCA3;0,00;;0,0;0,0;29,27;10,95;15,77;48,98;12,2;9,03;1,94;31,49;9,22;;0,00
PTNT3;8,91;3,04;11,1;0,97;8,77;3,63;5,75;14,84;6,42;4,69;2,56;9,15;0,8;3.746,80;304.780.386,68
PTNT4;5,06;5,35;6,31;0,55;8,77;3,63;5,75;14,84;6,42;4,69;2,56;9,15;0,8;76.013,95;304.780.386,68
QUAL3;1,87;0,3;140,99;0,41;0,29;0,09;4,72;84,39;11,21;0,24;1,08;4,57;0,01;3.155.537,82;531.106.787,75
QUSW3;0,00;;0,0;0,0;22,61;8,75;16,35;94,75;47,06;36,45;1,14;126,07;28,5;;0,00
QVQP3B;0,00;;0,0;0,0;-109,4;-109,4;-119,66;;;;;0,0;0,0;;0,00
RADL3;15,35;2,65;22,42;4,07;18,13;5,2;22,21;29,58;5,79;2,95;1,34;3,78;0,68;154.518.932,05;26.371.410.520,00
RAIL3;18,69;4,34;-24,28;2,37;-9,78;-2,78;3,66;46,27;15,38;-10,38;1,9;7,87;-0,77;182.516.392,82;34.667.500.656,81
RAIZ4;1,71;0,59;-4,16;0,97;-23,42;-3,02;3,79;4,64;1,69;-1,67;1,33;1,76;-0,41;21.445.384,36;17.702.791.217,64
RANI3;7,58;8,74;5,64;1,29;22,84;8,76;7,67;38,59;20,41;19,35;3,51;5,89;1,35;4.280.464,14;1.817.910.786,02
RANI4;5,50;;4,09;0,93;22,84;8,76;7,67;38,59;20,41;19,35;3,51;5,89;1,35;;1.817.910.786,02
RAPT3;8,27;4,96;8,54;0,88;10,27;1,76;7,54;26,63;9,86;2,54;2,06;9,43;0,97;217.680,50;2.836.355.461,09
