ticker;preco;dy;pvp;valor_patrimonial;liquidez_diaria;percentual_caixa;patrimonio;num_cotistas;gestao
VGRI11;8,36;20,1;0,79;10,58;;2,0;;;Ativa
VIDS11;915,64;10,14;1,03;888,76;0,0;11,9;;199,0;Ativa
VIFI11;6,96;8,05;0,87;7,97;0,0;6,91;;;Ativa
VILG11;83,25;9,37;0,74;112,44;;3,06;;;Ativa
VINO11;5,07;12,56;0,49;10,27;;5,02;;;Ativa
VISC11;105,24;9,21;0,85;124,15;;7,4;;;Ativa
VIUR11;5,68;14,15;0,65;8,76;;13,19;;;Ativa
VJFD11;155,02;6,19;0,95;163,86;0,0;0,73;;96,0;Ativa
VLIQ11;0,00;0,0;;63,81;;3,5;;;
VLJS11;1.141,14;0,0;1,51;755,83;;0,05;;9,0;Passiva
VLOL11;98,00;0,0;1,54;63,81;;3,5;;;
VOTS11;77,24;10,33;0,84;91,56;;15,38;;613,0;Ativa
VPPR11;12,50;3,36;0,31;40,25;;0,4;;;Ativa
VPSI11;25,00;11,38;0,81;30,78;0,0;0,91;;123,0;Ativa
VRTA11;80,00;12,56;0,94;84,97;;2,24;;;Ativa
VRTM11;7,03;15,29;0,76;9,3;;5,38;;;Ativa
VSEC11;0,21;0,0;0,0;63,81;;3,5;;;
VSHO11;72,01;11,51;0,69;104,84;;1,39;;;Ativa
VSLH11;2,96;14,56;0,29;10,08;;3,38;;;Ativa
VTBL11;0,00;0,0;;85,4;;0,0;;12,0;Ativa
VTLT11;88,70;12,9;0,85;104,95;;3,66;;;Ativa
VTPA11;0,00;0,0;;99,59;;0,06;;1,0;Ativa
VTPL11;72,10;0,0;0,72;100,67;72,0;1,55;;124,0;Ativa
VTRT11;0,00;0,0;;63,81;;3,5;;;
VTVI11;0,00;0,0;;30,45;;1,86;;1,0;Ativa
VTXI11;0,00;0,0;;3,03;;9,14;;2,0;Ativa
VVCO11;14,00;0,0;0,98;14,35;;0,38;;;Ativa
VVCR11;10,10;11,68;0,98;10,26;;8,23;;;Ativa
VVMR11;85,66;2,87;0,8;107,22;;0,27;;637,0;Ativa
VVPR11;101,50;0,0;1,59;63,81;;3,5;;;
VVRI11;83,74;9,89;0,87;96,0;;3,81;;165,0;Ativa
VXXV11;700,00;0,0;2,25;311,34;;1,19;;13,0;Ativa
WHGR11;8,80;13,58;0,91;9,62;;1,83;;;Ativa
WPLZ11;47,50;8,8;0,71;66,8;;4,74;;;Passiva
WSEC11;5,99;16,92;0,74;8,1;;31,88;;618,0;Ativa
WTSP11;57,00;23,15;0,68;84,38;627,43;0,68;;221,0;Ativa
XBXO11;0,00;0,0;;8,99;;0,0;;5,0;Ativa
XPCI11;81,81;12,57;0,92;88,51;;2,26;;;Ativa
XPCM11;7,21;0,0;0,27;26,58;;2,24;;;Passiva
XPIN11;70,92;12,01;0,69;103,13;;2,51;;;Ativa
XPLG11;100,40;9,56;0,93;107,49;;5,82;;;Ativa
XPML11;105,45;10,47;0,9;117,4;;1,46;;;Ativa
XPRE11;0,00;0,0;;;;;;;
XPSF11;6,08;12,93;0,79;7,72;;1,88;;;Ativa
YEES11;102,05;0,0;1,18;86,48;0,0;23,94;;130,0;Ativa
YUFI11;59,50;3,67;0,79;74,87;0,0;42,83;;56,0;Ativa
ZAGH11;10,28;8,35;1,1;9,35;901,41;2,19;;413,0;
ZAVC11;8,62;17,75;0,86;9,99;;17,1;;329,0;Ativa
ZAVI11;89,65;15,2;0,69;129,96;;2,98;;;Ativa
ZIFI11;529,00;0,0;0,3;;;0,0;;94,0;Ativa
