TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB;67,87;0,81;12,56;1,22;0,18;0,00;31,82;22,24;8,78;2,90;-5,88;-0,82;2,79;;-0,18;;9,74;1,40;10,09;0,14;0,86;0,06;14,90;17,31;;55,49;5,40;0,40;4.674.915.456,00
ABCL;3,86;;-6,76;1,11;0,84;100,00;-911,27;-726,26;-5,38;-2,39;2,99;-0,62;49,07;1,64;-1,96;10,15;-16,41;-12,49;-24,77;0,76;0,24;0,02;19,95;;;3,43;-0,56;0,07;1.134.241.860,00
ABEO;5,79;;-6,76;7,22;3,01;;;;-7,48;-5,85;1,63;-1,58;;4,26;-26,57;4,90;-106,74;-44,47;-65,80;0,42;0,58;0,00;;;;0,81;-0,86;0,07;298.755.128,00
ABEV;2,42;2,63;13,41;2,15;1,39;49,32;23,08;17,72;10,30;9,38;-0,91;-0,19;2,38;29,99;-1,96;1,19;16,06;10,35;19,01;0,64;0,36;0,58;2,06;-4,53;;1,12;0,18;3,46;37.635.791.751,00
ABG;256,14;;12,28;1,41;0,50;17,06;4,79;2,42;6,22;11,66;5,44;1,23;0,30;7,97;-0,73;1,25;11,46;4,06;8,28;0,35;0,65;1,68;18,98;18,47;;184,32;21,12;-0,46;5.099.006.704,00
ABIO;2,40;;-0,40;0,09;0,09;;;;-0,40;4,22;4,62;-1,02;;0,09;-120,89;26,61;-22,10;-21,27;-22,10;0,96;0,04;0,00;;;;26,94;-5,96;-0,03;2.901.360,00
ABM;48,07;1,02;37,95;1,64;0,56;100,00;2,62;0,93;13,45;20,16;6,71;0,82;0,35;4,19;-0,91;1,55;4,32;1,48;4,99;0,34;0,66;1,60;5,16;-8,57;;29,30;1,27;-0,41;2.990.251.740,00
ABMD;381,02;;0,16;11,16;10,13;81,62;21,82;39,85;0,30;0,28;-0,01;-0,53;0,06;18,50;-27,11;7,93;6.903,14;6.265,30;3.565,27;0,91;0,09;157,22;18,30;21,24;;34,15;2.357,30;0,00;17.180.649.024,00
ABNB;136,67;;33,28;10,64;3,37;83,05;28,59;22,60;26,30;26,20;-0,10;-0,04;7,52;18,50;-22,46;1,27;31,98;10,13;13,28;0,32;0,68;0,45;18,23;;;12,86;4,11;-0,68;84.459.399.552,00
ABST;11,49;;57,33;-14,16;4,68;87,94;14,58;10,16;39,94;36,85;-3,08;;5,82;-36,16;-13,87;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;1,42;609.650.208,00
ABT;133,66;0,82;17,24;4,77;2,86;55,81;18,67;31,89;29,45;30,26;0,81;0,13;5,50;22,94;-3,99;1,78;27,66;16,58;2,83;0,60;0,40;0,52;5,63;29,45;;28,05;7,76;0,04;232.772.818.988,00
ABTX;41,63;;10,98;1,18;0,12;0,00;38,18;28,90;8,31;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;3,01;830.943.126,00
ABUS;3,13;;-7,90;7,65;5,17;100,00;-1.193,97;-1.195,86;-7,92;-6,44;1,47;-1,42;94,52;6,22;-2.996,17;6,01;-96,73;-65,44;-96,58;0,68;0,32;0,05;0,53;;;0,41;-0,40;0,08;605.225.636,00
AC;37,68;5,60;20,77;0,88;0,85;100,00;380,10;316,45;17,29;10,88;-6,41;-0,33;65,72;;-0,85;;4,25;4,09;4,29;0,96;0,03;0,01;-16,10;2,50;;42,53;1,81;1,49;792.875.127,00
ACA;89,99;0,11;56,00;1,78;0,89;20,32;7,79;3,00;21,57;29,05;7,49;0,62;1,68;8,72;-1,11;1,98;3,18;1,58;4,08;0,50;0,50;0,53;8,15;-3,73;;50,28;1,60;-1,24;4.373.434.399,00
ACAC;11,30;;154,76;-8,15;2,11;;;;69,04;69,04;-0,01;;;-12,70;-2,12;0,02;-5,27;1,36;-5,23;-0,26;0,27;0,00;;;;-1,39;0,07;-2,37;44.879.080,00
ACACU;11,76;;161,06;-8,48;2,20;;;;71,86;69,04;-0,01;;;-13,22;-2,20;0,02;-5,27;1,36;-5,23;-0,26;0,27;0,00;;;;-1,39;0,07;-2,47;44.879.080,00
ACACW;0,32;;4,38;-0,23;0,06;;;;1,96;69,04;-0,01;;;-0,36;-0,06;0,02;-5,27;1,36;-5,23;-0,26;0,27;0,00;;;;-1,39;0,07;-0,07;44.879.080,00
ACAD;21,10;;15,34;4,59;3,10;92,04;26,58;22,97;13,26;10,68;-2,57;-0,89;3,52;6,18;-13,43;2,88;29,91;20,21;29,91;0,68;0,32;0,88;23,08;;;4,57;1,37;0,00;3.511.252.662,00
ACB;4,45;;-0,19;0,48;0,30;9,59;-104,57;-776,01;-1,38;-0,29;1,10;-0,38;1,45;0,53;-0,94;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;3,87;;;9,30;-24,13;0,00;253.108.800,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;10,19;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;0,09;656.653.998,00
ACCD;7,02;;-3,18;1,83;0,89;48,00;-39,96;-40,36;-3,21;-3,12;0,09;-0,05;1,28;3,40;-1,53;2,63;-57,60;-27,85;-34,51;0,48;0,52;0,69;434,67;;;3,83;-2,21;0,03;573.385.176,00
ACCO;3,96;5,63;-3,32;0,59;0,16;33,52;-2,98;-6,68;-7,45;-23,92;-16,47;1,32;0,22;1,12;-0,24;1,76;-17,90;-4,78;-3,80;0,27;0,73;0,72;-3,15;;;6,73;-1,20;-0,01;360.396.400,00
ACEL;12,19;;24,35;3,99;0,99;30,36;7,75;3,39;10,66;13,91;3,26;1,22;0,83;5,57;-1,42;2,42;16,40;4,06;9,15;0,25;0,75;1,20;23,74;;;3,06;0,50;-0,24;1.034.316.686,00
ACER;0,67;;-0,42;-0,49;1,12;;;;-0,42;-1,18;-0,76;;;-0,45;-2,08;0,16;-116,59;-264,63;1.777,30;-2,27;3,27;0,00;;;;-1,36;-1,58;0,00;16.390.679,00
ACET;0,64;;-0,44;0,32;0,27;;;;-0,44;0,84;1,28;-0,93;;0,38;-1,38;9,34;-72,67;-61,34;-72,67;0,84;0,16;0,00;;;;1,95;-1,42;0,03;52.107.048,00
ACEV;9,78;;-24,18;-1,71;2,06;;;;-24,18;-30,41;-6,23;;;-4,44;-2,06;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;-0,13;83.063.496,00
ACEVU;9,60;;-23,74;-1,68;2,02;;;;-23,74;-30,41;-6,23;;;-4,36;-2,02;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;-0,13;83.063.496,00
ACEVW;0,16;;-0,40;-0,03;0,03;;;;-0,40;-30,41;-6,23;;;-0,07;-0,03;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;0,00;83.063.496,00
ACGL;89,04;5,61;8,97;1,55;0,44;33,91;22,72;20,50;8,10;8,57;0,48;0,09;1,84;;-0,44;;17,29;4,96;13,78;0,29;0,71;0,24;20,28;22,01;;57,49;9,94;0,18;33.416.858.765,00
ACGLO;20,67;4,94;2,08;0,36;0,10;33,91;22,72;20,50;1,88;8,57;0,48;0,09;0,43;;-0,10;;17,29;4,96;13,78;0,29;0,71;0,24;20,28;22,01;;57,49;9,94;0,04;33.416.858.765,00
ACGLP;24,99;;2,51;0,43;0,12;33,91;22,72;20,50;2,27;8,57;0,48;0,09;0,52;;-0,12;;17,29;4,96;13,78;0,29;0,71;0,24;20,28;22,01;;57,49;9,94;0,05;33.416.858.765,00
ACH;9,04;;10,73;466,64;199,02;11,12;7,84;2,57;3,52;3,50;-0,02;-2,33;0,28;-11.359,92;-271,90;0,94;4.348,37;1.854,52;7.821,22;0,43;0,57;721,72;-68,19;;;0,02;0,84;0,44;6.195.995.208,00
ACHC;23,16;;11,42;0,70;0,35;96,38;11,88;5,94;5,72;11,34;5,63;0,69;0,68;12,94;-0,39;1,35;6,17;3,05;5,97;0,49;0,48;0,51;0,30;18,60;;33,02;2,04;-0,11;2.142.762.372,00
